seq,edge_id,point_index,x,y,lon,lat
52,139332152#3,0,737.5550000000001,645.22,145.13484541095104,-37.91466475258695
52,139332152#3,1,738.11,648.23,145.13485240653708,-37.914637737817756
52,139332152#3,2,738.12,650.565,145.13485305153122,-37.91461670537132
53,5322853#4,0,736.32,668.13,145.134836580995,-37.91445815110157
53,5322853#4,1,736.31,668.33,145.13483651279532,-37.9144563476502
54,5322853#5,0,736.71,669.88,145.13484141371913,-37.91444245697613
54,5322853#5,1,736.76,670.07,145.13484202548122,-37.91444075442277
55,5322853#6,0,746.41,680.79,145.1349541909638,-37.91434592549498
55,5322853#6,1,746.58,680.9,145.13495614899378,-37.914344965230285
56,5322853#7,0,750.76,680.71,145.13500363490115,-37.91434743022465
56,5322853#7,1,753.36,680.52,145.1350331552527,-37.9143496104209
56,5322853#7,2,755.78,679.53,145.13506044689325,-37.91435896476307
57,5322853#0,0,762.41,673.4,145.13513443948372,-37.914415380263016
57,5322853#0,1,762.52,673.23,145.13513565157743,-37.91441693149016
58,988996007#0,0,767.11,671.47,145.13518744233497,-37.914433613251994
58,988996007#0,1,778.03,668.34,145.1353108975292,-37.91446377706762
59,988996007#1,0,784.98,666.32,145.13538946390716,-37.91448322618943
59,988996007#1,1,785.17,666.26,145.13539161067897,-37.91448380092353
60,630680457#0,0,797.74,664.85,145.13553421880854,-37.91449876766355
60,630680457#0,1,803.38,663.98,145.13559815131038,-37.91450762110988
61,630680457#1,0,812.95,662.52,145.13570663625154,-37.91452249748988
61,630680457#1,1,815.58,662.12,145.13573645006124,-37.91452657464936
62,630680457#2,0,819.16,661.57,145.1357770318698,-37.914532174200275
62,630680457#2,1,819.36,661.54,145.13577929917528,-37.91453248048165
63,630680457#3,0,827.43,660.3,145.135870778261,-37.9145451046419
63,630680457#3,1,832.98,659.46,145.1359336943147,-37.914553671445944
64,630680457#4,0,842.64,657.98,145.13604319821422,-37.91456874389785
64,630680457#4,1,848.81,657.03,145.13611313910286,-37.914578413203564
65,630680457#5,0,858.33,655.58,145.1362210580121,-37.91459319002499
65,630680457#5,1,863.44,654.8,145.13627898470864,-37.91460113689534
66,630680457#7,0,876.78,652.84,145.13643022365807,-37.91462119579087
66,630680457#7,1,880.39,652.32,145.13647115352074,-37.91462653026061
67,-630680455#1,0,886.8,656.82,145.1365450624145,-37.914587147562116
67,-630680455#1,1,891.27,679.72,145.13660109482265,-37.91438166358791
68,-630680455#0,0,893.18,688.9,145.1366248994529,-37.91429931179209
