gps_x,gps_y,gt_x,gt_y,lon,lat,matched,edge_id,lane_index,lane_pos,is_internal_edge,raw_x,raw_y,matched_x,matched_y,matched_lat,matched_lon,match_error_m,unmatched_reason
305.4285499,1433.311363,307.976275,1431.575725,145.1301116,-37.90748745,TRUE,:10132758421_4,0,0.99660536,TRUE,305.4285499,1433.311363,306.1505156,1432.824042,-37.90749197,145.1301197,0.871043413,
297.0604525,1420.276327,296.5019474,1421.425252,145.1300135,-37.90760336,TRUE,:579292_0,0,7.393440423,TRUE,297.0604525,1420.276327,296.6458224,1421.468258,-37.90759255,145.1300091,1.26198964,
287.927023,1419.860716,288.1086715,1418.600529,145.1299096,-37.90760546,TRUE,5094886#2,0,8.825457714,FALSE,287.927023,1419.860716,288.1082681,1418.600471,-37.90761684,145.1299113,1.273211315,
278.1815983,1420.716308,277.7489454,1418.869619,145.129799,-37.90759599,TRUE,-5094886#2,0,13.5106055,FALSE,278.1815983,1420.716308,278.2588107,1421.037073,-37.90759311,145.1297999,0.329927123,
268.9183396,1424.977404,267.9475504,1423.445485,145.1296946,-37.90755593,TRUE,-5094886#2,0,3.372153354,FALSE,268.9183396,1424.977404,269.1408103,1425.328806,-37.9075528,145.1296972,0.415904715,
261.8516459,1430.831872,261.5907685,1426.625224,145.1296156,-37.90750191,TRUE,:9110403639_1,0,6.674773427,TRUE,261.8516459,1430.831872,261.4438128,1430.646566,-37.90750351,145.1296109,0.447957588,
251.4426413,1421.91827,251.4359245,1421.924408,145.1294952,-37.90758033,TRUE,:9110403636_0,0,1.279029222,TRUE,251.4426413,1421.91827,251.4372039,1421.925808,-37.90758026,145.1294952,0.009294466,
251.7787016,1410.822969,248.9720735,1411.222061,145.1294965,-37.90768034,TRUE,-10539447#1,0,7.090957232,FALSE,251.7787016,1410.822969,248.9717324,1411.219663,-37.90767626,145.1294647,2.834861914,
248.7183179,1400.988832,247.5246329,1401.161334,145.1294595,-37.90776837,TRUE,-10539447#0,0,3.393494229,FALSE,248.7183179,1400.988832,247.5246417,1401.161395,-37.9077666,145.1294459,1.206084882,
248.9675343,1387.39599,245.6055873,1387.881831,145.1294592,-37.90789086,TRUE,-10539447#0,0,16.81069917,FALSE,248.9675343,1387.39599,245.6056309,1387.882133,-37.90788588,145.1294211,3.396870531,
247.1318233,1375.931151,243.9451223,1376.391667,145.1294357,-37.90799381,TRUE,-10539447#0,0,28.42001116,FALSE,247.1318233,1375.931151,243.9451961,1376.392177,-37.90798908,145.1293996,3.219804098,
244.6890716,1363.55454,242.143173,1363.922453,145.1294051,-37.90810486,TRUE,-10539447#0,0,41.01852588,FALSE,244.6890716,1363.55454,242.1432794,1363.923189,-37.90810108,145.1293763,2.572345255,
240.9224136,1348.967768,240.0012804,1349.100883,145.129359,-37.90823558,TRUE,-10539447#0,0,55.99378881,FALSE,240.9224136,1348.967768,240.0014256,1349.101888,-37.9082342,145.1293485,0.930702435,
238.6681106,1332.424314,237.6133457,1332.57674,145.1293296,-37.9083842,TRUE,-10539447#0,0,72.68927944,FALSE,238.6681106,1332.424314,237.6135344,1332.578045,-37.90838262,145.1293176,1.065722421,
236.7243891,1322.123897,236.1155017,1322.211888,145.1293051,-37.90847664,TRUE,-10539447#0,0,83.16160991,FALSE,236.7243891,1322.123897,236.1157176,1322.213382,-37.90847572,145.1292982,0.615214195,
235.2652209,1309.831686,234.3699324,1309.955195,145.1292857,-37.9085871,TRUE,:579297_3,0,4.05046958,TRUE,235.2652209,1309.831686,235.5277063,1309.946112,-37.90858612,145.1292887,0.286342079,
