gps_x,gps_y,gt_x,gt_y
891.8387706,1163.221826,892.2942979,1163.162564
895.7977194,1178.422826,894.3048679,1178.61704
896.984067,1190.925514,895.9240949,1191.063413
897.2836667,1201.277417,897.2570679,1201.280887
898.7930569,1205.550843,896.8581486,1203.102592
885.7958086,1208.22582,885.904876,1206.000162
879.229121,1205.123524,879.3952242,1204.86104
874.592923,1203.096833,875.319585,1202.110929
870.1261329,1201.943404,871.9540451,1199.367709
864.2337142,1199.465221,864.2466492,1196.998342
856.0975097,1200.295892,856.1150238,1196.955704
852.7936667,1199.902876,853.12,1196.94
849.6290163,1198.990335,851.1345276,1196.394626
849.2285998,1187.74114,849.8203458,1187.732482
849.5777129,1184.682391,849.7756763,1184.679494
849.6205898,1182.268737,849.7403779,1182.266985
849.4400157,1179.803328,849.7042746,1179.799462
848.2961606,1176.670533,849.6582024,1176.650604
849.0235496,1171.127123,849.5772676,1171.119021
849.9416077,1163.76567,849.4697788,1163.772574
847.8332104,1156.616768,849.0717248,1156.410349
842.4430905,1155.626758,842.1014957,1153.129657
837.5843969,1155.212322,837.387706,1153.774487
832.7815976,1154.968875,832.7058229,1154.414952
830.3571006,1155.828107,829.9562282,1155.777203
829.3268714,1167.364716,830.0071426,1167.358172
829.2738282,1174.819517,830.0788418,1174.811774
829.1520637,1185.60326,830.1825542,1185.593348
831.6995503,1197.209406,830.2944238,1197.222923
831.2091802,1208.774557,830.405618,1208.782287
828.5238291,1220.12277,830.5145225,1220.103621
828.4349328,1230.303409,830.6124369,1230.282463
828.3468629,1240.389507,830.7094421,1240.36678
829.9217173,1245.618166,830.7598797,1245.610103
829.4256701,1252.476518,830.7291223,1252.630296
826.9442524,1259.554966,826.1693555,1257.554781
818.9946828,1260.161677,819.0113796,1260.0986
812.0925553,1252.307614,817.9651341,1252.36123
811.7846158,1241.152758,818.0669441,1241.210116
812.0069873,1230.741789,818.1620071,1230.797984
812.4125671,1220.175358,818.2585046,1220.228731
812.8273218,1210.233641,818.3492997,1210.284057
813.2983138,1199.478144,818.4475287,1199.525156
813.7009164,1188.132659,818.5511382,1188.176941
813.8710182,1177.788976,818.6455826,1177.832567
813.9949188,1170.254743,818.7143749,1170.297832
813.2260583,1162.228629,812.5449217,1157.05785
812.7144719,1153.629472,813.0609996,1156.990036
814.4679131,1141.492714,813.9155436,1157.020434
814.5028272,1139.369672,799.7982714,1143.023531
814.4671013,1141.542095,813.9164872,1157.020468
798.7481492,1158.568039,801.5010893,1156.77121
788.8824222,1160.392223,800.58,1155.36
778.2961923,1161.708944,776.0260217,1143.923575
768.5836525,1162.916983,766.3174625,1145.162801
756.2481108,1152.533583,755.9,1146.45
744.8305426,1149.213335,744.8861091,1146.286286
736.3175453,1147.910883,736.3514621,1146.124266
732.6217412,1147.331709,732.7977029,1146.018764
726.0313468,1168.968573,725.3958995,1168.967131
725.5347475,1176.791918,725.3781456,1176.791562
725.5830166,1187.132291,725.3546832,1187.131773
727.7217225,1196.542365,725.3333424,1196.536946
727.8760272,1205.946002,725.3025015,1205.939414
727.6913585,1214.755338,725.28,1214.73
726.5059775,1218.496322,724.747526,1217.445293
725.9585812,1224.274734,727.1350569,1223.514927
724.0085814,1224.370014,725.4163945,1221.713015
699.4878782,1221.703883,699.4718489,1220.620052
689.2405191,1221.349407,689.231972,1220.771495
676.7248935,1223.630426,676.6808189,1220.971257
669.4719493,1223.153789,669.4377645,1221.091308
661.5176567,1223.511634,661.479727,1221.223209
647.6812683,1222.294521,647.666953,1221.448149
635.7345897,1222.443792,635.7211671,1221.650196
628.3073766,1223.781186,628.2734643,1221.776165
621.6715909,1224.174766,621.6329214,1221.888481
611.8931419,1224.301407,611.8551276,1222.053859
601.1625045,1223.473858,601.1415519,1222.235065
593.4147238,1222.97243,593.4044656,1222.365928
587.4162457,1224.687147,587.3786769,1222.467906
571.3463292,1224.501005,571.3209014,1222.707262
562.0878347,1223.363308,562.0803917,1222.838254
550.0817973,1223.51306,550.0746439,1223.008446
542.4814669,1225.4309,542.4486591,1223.11655
530.0951917,1223.84098,530.0874063,1223.291782
521.3714493,1223.23833,521.3739581,1223.415302
513.1443258,1224.430901,513.0866,1224.060888
507.0588925,1232.091763,508.3542546,1232.199983
509.4046489,1242.891108,508.9215485,1242.919297
508.2870912,1254.578535,509.5974049,1254.502078
509.1746692,1266.055512,510.2678271,1265.991726
515.705781,1277.538452,515.9707484,1277.244538
529.8902091,1277.034165,529.8942374,1277.855375
536.7816661,1278.172637,531.1330572,1278.924608
534.2652591,1303.832253,534.4456897,1303.808233
536.279163,1315.572535,536.0164681,1315.607507
536.9007279,1326.917798,537.5014935,1326.844398
540.0240194,1338.869703,539.8687462,1338.935543
543.4999511,1342.565006,542.8702765,1343.267768
