gps_x,gps_y,gt_x,gt_y,lon,lat
336.2649652,807.7142809,336.1937946,807.2171491,145.13031955058074,-37.91312854311266
325.1356265,808.2738985,325.214163,808.811874,145.1301931333208,-37.91312149091093
315.3874308,809.7530623,315.4421564,810.1652504,145.13008262996829,-37.913106404691185
298.3471588,812.4139252,298.3353974,812.3200506,145.1298894825581,-37.91307935547542
286.1174895,812.6529236,286.2652493,813.8322897,145.12975048112287,-37.913074992143265
271.3041648,815.6676387,271.3089864,815.706123,145.12958273589282,-37.91304515735956
259.2989387,817.7011737,259.2384544,817.2184102,145.12944669603183,-37.91302466866332
246.444607,823.6927127,246.2428174,822.0751931,145.1293019048132,-37.91296837174133
233.2570808,823.6989819,233.2940729,823.9484735,145.12915195936458,-37.91296593101295
221.3905087,825.2800275,221.4905183,825.8345718,145.1290173930622,-37.912949543018435
210.0871015,826.4139925,210.0866106,826.3967513,145.12888912816348,-37.91293728410649
202.7718656,823.0651723,205.5709419,819.0065116,145.12880518698515,-37.91296612816567
199.7637971,807.6942707,200.3532979,807.5745675,145.12876747560472,-37.91310404857515
197.7677255,795.4688699,198.2271966,795.4043757,145.12874198888932,-37.9132138166344
197.2650441,782.3833155,196.5292868,782.4742281,145.1287332862028,-37.91333160320586
196.1310093,770.720468,195.1382413,770.8331039,145.1287177294846,-37.91343645954719
198.5381926,760.3973765,193.9619037,760.9528433,145.12874274375508,-37.913529887494285
206.4965897,753.816161,206.1368573,751.4502051,145.1288317320254,-37.91359061169752
223.113888,751.6948366,222.6939304,748.9327803,145.12902019404294,-37.913612725912614
229.0058979,751.5818403,228.4696003,748.054617,145.12908716308874,-37.913614809174334
234.511181,747.1423585,234.5131402,747.1559408,145.129148747491,-37.91365579639093
249.3159205,745.262967,249.2947576,745.1088279,145.12931665535953,-37.91367540302938
258.0677465,744.9883474,257.9235267,743.9273653,145.12941610504285,-37.91367945906591
265.944776,742.1757009,266.0330403,742.8250352,145.12950502877567,-37.913706219978934
282.0065001,740.8262855,281.9834734,740.6568849,145.12968735030478,-37.91372127918038
286.83428,738.2785148,287.0637051,739.9663265,145.12974166319214,-37.91374510268744
290.0587716,727.982122,292.0526697,727.6743082,145.12977597814654,-37.91383843766726
287.1489565,717.8110655,290.5440251,717.4073523,145.12974057159016,-37.91392953482339
288.1787959,707.9462955,289.4017033,707.8008775,145.12975003075073,-37.914018584970066
287.9241018,693.0776585,287.6547496,693.1096877,145.1297437424579,-37.914152478861666
286.1041282,679.3031664,285.9113863,679.3292798,145.12971990565757,-37.91427623352487
284.4818691,667.3711116,284.3035853,667.3950745,145.12969873726576,-37.91438342684081
284.9163935,656.2858912,282.8657939,656.5567252,145.1297011488702,-37.91448336346033
283.9464184,649.0339867,281.9077864,649.30324,145.12968846507647,-37.91454851486233
283.4028585,640.9332605,280.8469033,641.2708395,145.12968043619074,-37.914621389710334
280.2674891,635.713388,280.1155507,635.7334553,145.12964359410938,-37.91466784470238
282.1081738,632.9473917,279.7742538,633.2723679,145.12966389273382,-37.91469309412247
292.8086317,620.4655582,292.8469274,620.8919426,145.12978271589122,-37.91480746735421
298.6623078,620.0498728,298.6888592,620.2982525,145.1298491811225,-37.91481226997112
302.6970354,619.7120896,302.7137023,619.8680034,145.129894981517,-37.914816042037494
312.5510877,618.8871119,312.5436145,618.8172018,145.13000684026264,-37.9148252545756
319.5424719,618.240974,319.5053427,617.951813,145.13008618943977,-37.914832338641254
323.5294835,617.8137988,323.4816462,617.4412433,145.1301314269095,-37.914836907255626
326.9278754,617.4496895,326.8709109,617.0060513,145.1301699857817,-37.91484080137048
338.6262534,616.196293,338.9508196,615.9338305,145.13030271808117,-37.91485420621083
345.8802975,615.3017446,345.9895033,616.1900179,145.13038499728418,-37.914863575275476
354.8797255,614.1207238,354.9979682,615.0825024,145.13048705733976,-37.914875840250986
363.6137419,612.9745239,363.740756,614.0076497,145.13058610746845,-37.914887743511876
370.1722122,612.1138224,370.3058139,613.2005306,145.13066048533616,-37.9148966818139
383.7027489,610.3381257,383.849943,611.5353931,145.13081393161434,-37.914915122084444
391.6091474,609.3342066,391.7602041,610.5628926,145.1309036037325,-37.91492559387337
402.4882483,607.9984402,402.6390957,609.2254237,145.13102700183995,-37.914939591913786
410.3984391,607.0271961,410.5487578,608.2581517,145.1311167245953,-37.91494976988305
420.3874833,605.80069,420.5455439,606.9414261,145.1312300271541,-37.914962622707336
432.3615568,604.3304261,432.4939411,605.2858543,145.13136584532236,-37.91497802974231
445.0737543,602.6028394,445.2015411,603.5250872,145.13150999787334,-37.91499588793729
459.1254683,600.6928887,459.2473944,601.5885712,145.13166934016007,-37.91501563060899
472.8766868,598.7654706,473.0060322,599.7156559,145.13182526171812,-37.915035476161876
484.7584873,597.0927234,484.8952261,598.0972214,145.13195998482104,-37.91505268987284
499.8681458,594.8345249,500.0317981,596.0367327,145.13213127759045,-37.91507576002207
513.5289575,592.779289,513.7187568,594.1735748,145.13228614231247,-37.91509674006181
526.8795719,590.7495688,526.8656885,590.6561407,145.13243748578088,-37.915117434059695
540.3967226,588.6807569,540.3915863,588.6461923,145.132590714073,-37.91513851006854
553.6025149,586.6595761,553.6059275,586.6825412,145.13274041294244,-37.915159100618574
568.2650039,584.4355105,568.274991,584.5027183,145.13290662938343,-37.91518178147514
581.9230015,582.3854331,581.9353177,582.4683274,145.13306146376615,-37.9152027135285
602.0353522,579.409638,602.0458607,579.4803654,145.13328947814267,-37.91523314893289
618.082871,577.0688559,618.0870548,577.0970147,145.13347141718273,-37.915257130285646
632.9228195,574.9159474,632.9194492,574.8932637,145.1336396681585,-37.915279201130474
648.2830212,572.7384706,648.2644318,572.6133539,145.1338138293183,-37.915301586888525
664.001647,570.5101537,663.9674875,570.2802427,145.1339920545719,-37.91532449501125
679.9349614,568.2513561,679.9898599,572.1172718,145.13417271418058,-37.91534771615853
695.3315718,566.1292524,695.29,571.9,145.1343473022933,-37.915369608886195
712.1816256,583.009249,712.4920248,582.644695,145.13454274170095,-37.915220587903775
721.9415524,590.9549606,720.9977609,591.3118565,145.1346555274121,-37.91515077059315
726.2816467,608.5926976,725.52978,608.7869759,145.1347088909765,-37.91499266800909
730.5125743,622.1027676,729.067024,622.4762899,145.1347600737684,-37.914871728738284
735.4029871,635.3939309,736.0502533,635.1871314,145.13481870536287,-37.914752880284354
739.5314507,648.1933462,739.7104541,648.1926244,145.1348685610165,-37.914638324232854
741.5581955,659.7459804,736.416157,659.6874151,145.13489423495955,-37.91453462061989
740.9206198,671.4137913,738.2192184,673.375758,145.13488964005703,-37.91442939920476
743.9278008,684.2524706,746.3076762,680.7210426,145.13492675463834,-37.914314287297366
760.7876972,676.5072715,760.5121466,676.2929544,145.13511669979687,-37.914387096807715
774.5191335,670.0097849,774.343402,669.3966897,145.13527135661963,-37.91444810251886
791.1169344,662.0290637,791.3832449,665.2913678,145.13545826871618,-37.914522985900604
801.7602221,664.6676477,801.6942605,664.2400343,145.13557988980702,-37.91450113474505
815.2859447,662.5860856,815.223308,662.1742497,145.1357332124636,-37.914522323053475
827.672594,659.9903737,827.7129742,660.2571715,145.13587346629953,-37.91454793753859
839.3732142,658.9479749,839.3032356,658.4912227,145.1360062728534,-37.91455943564031
853.6474069,657.189423,853.5139988,656.3135296,145.1361681798109,-37.91457784846603
869.6045601,656.4155765,869.2419402,653.947541,145.1363494470917,-37.91458769372445
877.0090071,653.4704876,876.9153799,652.8204993,145.13643297095422,-37.91461555744553
882.8800578,654.4327002,883.6030617,652.6203704,145.13649994740268,-37.91460794698781
890.466649,664.6364724,888.4043261,665.0390306,145.13658853145176,-37.91451739514357
890.9195791,671.180511,889.6514398,671.4280473,145.13659516914035,-37.914458526357805
893.7737588,682.7329692,891.974759,683.1072709,145.13663024900706,-37.91435497289545
897.6162096,696.2133029,894.9374622,696.8085801,145.13667700422675,-37.914234230596804
899.1797822,703.8550323,896.5932676,704.4117564,145.13669651998111,-37.914165673527975
901.5697744,713.2001936,898.6214904,713.8347854,145.1367258197555,-37.914081920325685
903.8173563,724.565789,901.0590325,725.1594936,145.13675395940905,-37.91397994088452
906.4685024,734.4785329,903.19,735.03,145.13678635750557,-37.91389112175903
908.7032693,747.6259153,902.58,744.72,145.1368147562543,-37.91377308919684
898.480271,749.6977424,897.9719468,749.1799609,145.13669898627555,-37.91375258477584
886.7105609,756.1438954,886.4763463,755.3649646,145.1365666237979,-37.91369239665781
879.7532188,758.3085604,879.4870625,757.3614182,145.13648800731247,-37.91367164383246
872.2421782,760.1186026,872.0484145,759.3687637,145.13640301442138,-37.91365398576357
862.0762073,762.6195013,861.9354893,762.1050544,145.13628799073868,-37.91362962603101
853.3216574,763.389862,853.6220987,764.4626978,145.13618862224223,-37.913621109545346
845.168955,768.2360461,844.8107341,766.9155455,145.136097023808,-37.91357598534744
837.498473,769.5230725,837.3408114,768.9417755,145.1360100992797,-37.91356300973656
827.8713806,773.6724414,827.3254937,771.6557888,145.13590157804921,-37.91352389687467
815.9660618,775.6707325,815.7392977,774.8700591,145.1357666632318,-37.9135037509053
809.8181155,777.3286818,809.6131789,776.6050787,145.13569713517236,-37.91348770800912
802.8747846,779.2540613,802.6814084,778.5866013,145.13561862406468,-37.91346911268202
795.1016599,781.7436347,794.9118586,781.3965207,145.1355308061714,-37.91344528538498
790.3101545,784.4668214,790.0457271,784.1919364,145.1354769438764,-37.91341989085235
782.776669,789.0221753,785.7858295,790.0548094,145.13539232077449,-37.9133774975718
793.3967388,809.4368589,794.5041432,808.7699824,145.1355177189837,-37.91319551071329
800.2845003,819.6270833,801.0512319,819.1410947,145.13559835337153,-37.913104955701634
805.4369479,827.3882689,806.037415,827.0076662,145.13565870392196,-37.91303596935927
808.7954472,835.198677,810.5316909,834.0981685,145.13569866764436,-37.91296621635803
816.0292122,847.2270003,818.0439072,845.949997,145.13578365373797,-37.9128591654869
822.5772049,856.0953716,820.4189502,856.9715699,145.13586012354418,-37.91278045664447
