sim_time,phone_lat,phone_lon,gps_x,gps_y,keep0_sumo_x,keep0_sumo_y,keep1_sumo_x,keep1_sumo_y,,
241,-37.91341989,145.1354769,833.6325484,890.9675075,833.6224824,890.9711641,833.6224824,890.9711641,,
242,-37.9133775,145.1353923,838.1765216,900.0909357,837.1026682,900.4850986,837.1026682,900.4850986,,
243,-37.91319551,145.1355177,844.011745,909.452055,840.8558474,910.6282608,840.8558474,910.6282608,,
244,-37.91310496,145.1355984,848.5066586,919.0572531,844.4392609,920.494727,844.4392609,920.494727,,
245,-37.91303597,145.1356587,851.6565402,932.2482302,848.7071639,933.2357,848.7071639,933.2357,,
246,-37.91296622,145.1356987,856.5206012,940.5459321,851.695542,942.1613924,851.695542,942.1613924,,
247,-37.91285917,145.1357837,859.8890609,955.4278488,856.515406,956.5573697,856.515406,956.5573697,,
248,-37.91278046,145.1358601,864.3422803,967.4502074,860.5837142,968.708599,860.5837142,968.708599,,
249,-37.9126987,145.1358868,867.8318063,977.4898228,863.9579628,978.78681,863.9579628,978.78681,,
250,-37.91261695,145.1359356,866.9945742,983.6768763,865.736241,984.0981742,865.736241,984.0981742,,
251,-37.91257953,145.1359379,867.7545691,987.1500302,866.8584701,987.4500498,866.8584701,987.4500498,,
252,-37.91246831,145.1359938,870.3571849,1000.11233,869.4582502,1000.24184,869.4582502,1000.24184,,
253,-37.91238694,145.1360475,871.471699,1011.031408,871.0220437,1011.09619,871.0220437,1011.09619,,
254,-37.91230367,145.136116,873.2308034,1022.866075,872.7281718,1022.93849,872.7281718,1022.93849,,
255,-37.91221795,145.1361693,875.7222179,1035.867199,874.6026408,1036.028038,874.6026408,1036.028038,,
256,-37.91209969,145.1362081,876.9572472,1049.467435,876.5419172,1049.527101,876.5419172,1049.527101,,
257,-37.91202582,145.1362653,878.3798339,1062.245585,878.3692734,1062.247102,878.3692734,1062.247102,,
258,-37.91189237,145.136307,880.4344303,1075.276387,880.2449715,1075.303604,880.2449715,1075.303604,,
259,-37.91178487,145.1363603,882.0412909,1087.735292,882.0320761,1087.736617,882.0320761,1087.736617,,
260,-37.91169506,145.1364023,884.2992268,1099.614785,883.7508936,1099.693608,883.7508936,1099.693608,,
261,-37.91163917,145.1363942,887.112898,1112.484404,885.6357201,1112.699935,885.6357201,1112.699935,,
262,-37.91160802,145.1364036,886.5541439,1125.619056,887.4956957,1125.482232,887.4956957,1125.482232,,
263,-37.91149172,145.1364361,889.6955381,1138.410757,889.1246755,1138.479482,889.1246755,1138.479482,,
264,-37.91139356,145.1364513,890.010864,1151.335179,890.7432041,1151.239905,890.7432041,1151.239905,,
