sim_time,phone_lat,phone_lon,gps_x,gps_y,sumo_x,sumo_y
58.0,-37.9077304426538,145.13034103054318,326.13915117818397,1406.7523598689586,306.33,1428.91
59.0,-37.90778276367695,145.13032143637585,324.5328968570102,1400.912009773776,305.24,1427.5
60.0,-37.90780743991322,145.1302716166504,320.207728326146,1398.0859639067203,303.55238805522157,1425.8888059663861
61.0,-37.9078749331043,145.13023744418246,317.3535433708457,1390.536326404661,301.42,1424.16
62.0,-37.90792824453791,145.13025663940607,319.15981119452044,1384.6544739110395,299.92768086092093,1423.1539664873414
63.0,-37.90799338010389,145.1302830154493,321.6237191244727,1377.4732189867646,298.8882600117272,1422.59865945832
64.0,-37.90803158401202,145.1302589999701,319.59734130767174,1373.1915761493146,298.61,1422.45
65.0,-37.90809974150988,145.13019341058998,313.9825222834479,1365.5128220487386,296.08321567415254,1421.2204285071373
66.0,-37.90814547994649,145.1302008954287,314.7423761742539,1360.4506572019309,293.19,1420.01
67.0,-37.90821274497895,145.13022914409845,317.37565979140345,1353.036409479566,293.19,1420.01
68.0,-37.90825611601701,145.1302400078183,318.42730705905706,1348.2429009024054,290.91900878409615,1301.1101322237632
69.0,-37.908311504335025,145.13020639714009,315.59559429297224,1342.0374690648168,330.91,1295.67
70.0,-37.908359243311146,145.13015261649363,310.9735564060975,1336.6452760323882,290.91900878409615,1301.1101322237632
71.0,-37.90840776757819,145.13012806641368,308.9231654824689,1331.2174887442961,290.91900878409615,1301.1101322237632
72.0,-37.908485233658865,145.1301595309707,311.8618860815186,1322.6769548412412,290.91900878409615,1301.1101322237632
73.0,-37.908533243175924,145.1301661161753,312.54770021204604,1317.361193118617,290.91900878409615,1301.1101322237632
74.0,-37.9085483245896,145.13023709029156,318.82115771609824,1315.812842295505,290.91900878409615,1301.1101322237632
75.0,-37.908514936189576,145.13026784968582,321.45114692114294,1319.5720254834741,330.91,1295.67
76.0,-37.90859763465818,145.13028148001587,322.8335506589501,1310.4194278577343,330.91,1295.67
77.0,-37.90867064810289,145.13030577220755,325.1317632566788,1302.3603287981823,330.91,1295.67
78.0,-37.90871896513944,145.1303563011402,329.6816805378767,1297.087928475812,330.91,1295.67
79.0,-37.90873825764374,145.13043463112322,336.611200574087,1295.085251555778,330.91,1295.67
80.0,-37.908743338977025,145.13049242698176,341.7037814837531,1294.6233063107356,336.57102307191633,1294.818225695198
81.0,-37.908755695659075,145.1305412329206,346.0221795006073,1293.338198909536,341.61883176971577,1294.0587174420568
82.0,-37.90877553544852,145.13062881672403,353.76648277800996,1291.2910937145352,346.0307098897116,1293.3948931878906
83.0,-37.90878193461529,145.13069835996916,359.8947935507749,1290.703614845872,353.9047651308583,1292.2101395057737
84.0,-37.908796172137016,145.13077603790896,366.7557260696776,1289.260689263232,359.98384480268555,1291.2954631662626
85.0,-37.90880677710842,145.13085114479338,373.3825329024694,1288.2163115208969,366.90519110666526,1290.2540568936731
86.0,-37.90882086006909,145.1309405515271,381.2742827028269,1286.8112004725263,373.53895562923395,1289.255921028009
